"job_id","job_title","salary_year_avg","salary_hour_avg","skills"
1191805,"Data Engineer","","55.0","python"
1191805,"Data Engineer","","55.0","r"
1191805,"Data Engineer","","55.0","azure"
1191805,"Data Engineer","","55.0","excel"
1191805,"Data Engineer","","55.0","tableau"
1191805,"Data Engineer","","55.0","power bi"
328925,"Data Engineer","","54.0","sql"
328925,"Data Engineer","","54.0","python"
328925,"Data Engineer","","54.0","bigquery"
328925,"Data Engineer","","54.0","gcp"
328925,"Data Engineer","","54.0","hadoop"
720678,"Software Engineer in Test","","53.5","sql"
720678,"Software Engineer in Test","","53.5","python"
720678,"Software Engineer in Test","","53.5","nosql"
720678,"Software Engineer in Test","","53.5","typescript"
720678,"Software Engineer in Test","","53.5","visual basic"
720678,"Software Engineer in Test","","53.5","sql server"
720678,"Software Engineer in Test","","53.5","db2"
720678,"Software Engineer in Test","","53.5","oracle"
720678,"Software Engineer in Test","","53.5","linux"
720678,"Software Engineer in Test","","53.5","windows"
575426,"Big Data Developer/Hadoop Developer","","50.0","sql"
575426,"Big Data Developer/Hadoop Developer","","50.0","python"
575426,"Big Data Developer/Hadoop Developer","","50.0","java"
575426,"Big Data Developer/Hadoop Developer","","50.0","db2"
575426,"Big Data Developer/Hadoop Developer","","50.0","unix"
47036,"Senior Data Engineer | Freelance| Remote |","","50.0","sql"
47036,"Senior Data Engineer | Freelance| Remote |","","50.0","azure"
47036,"Senior Data Engineer | Freelance| Remote |","","50.0","aws"
47036,"Senior Data Engineer | Freelance| Remote |","","50.0","gcp"
47036,"Senior Data Engineer | Freelance| Remote |","","50.0","hadoop"
1202590,"Data Engineer(SQL/Python)","","45.0","sql"
1202590,"Data Engineer(SQL/Python)","","45.0","python"
1202590,"Data Engineer(SQL/Python)","","45.0","databricks"
1202590,"Data Engineer(SQL/Python)","","45.0","aws"
1202590,"Data Engineer(SQL/Python)","","45.0","snowflake"
1202590,"Data Engineer(SQL/Python)","","45.0","airflow"
1202590,"Data Engineer(SQL/Python)","","45.0","tableau"
1202590,"Data Engineer(SQL/Python)","","45.0","git"
160099,"Cloud Engineer Data Platform","","42.5","c"
160099,"Cloud Engineer Data Platform","","42.5","aws"
160099,"Cloud Engineer Data Platform","","42.5","airflow"
160099,"Cloud Engineer Data Platform","","42.5","git"
160099,"Cloud Engineer Data Platform","","42.5","jenkins"
160099,"Cloud Engineer Data Platform","","42.5","terraform"
1419194,"BI Engineer","","42.0","sql"
1419194,"BI Engineer","","42.0","go"
1419194,"BI Engineer","","42.0","sql server"
1419194,"BI Engineer","","42.0","azure"
1419194,"BI Engineer","","42.0","oracle"
1419194,"BI Engineer","","42.0","excel"
1419194,"BI Engineer","","42.0","power bi"
1419194,"BI Engineer","","42.0","word"
1419194,"BI Engineer","","42.0","powerpoint"
393204,"Snowflake Data Engineer with DBT","","40.0","sql"
393204,"Snowflake Data Engineer with DBT","","40.0","python"
393204,"Snowflake Data Engineer with DBT","","40.0","mongodb"
393204,"Snowflake Data Engineer with DBT","","40.0","mongodb"
393204,"Snowflake Data Engineer with DBT","","40.0","dynamodb"
393204,"Snowflake Data Engineer with DBT","","40.0","bigquery"
393204,"Snowflake Data Engineer with DBT","","40.0","oracle"
393204,"Snowflake Data Engineer with DBT","","40.0","snowflake"
393204,"Snowflake Data Engineer with DBT","","40.0","tableau"
393204,"Snowflake Data Engineer with DBT","","40.0","git"
